hand_id,source,prev_decision_idx,curr_decision_idx,prev_street,curr_street,update_type,llm_magnitude,oracle_magnitude,correlation,direction_agreement,magnitude_ratio
36fb8b8d,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.4319531454424977,0.03070479597091407,-0.2910975199186098,0.7142857142857143,14.067937329779905
36fb8b8d,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,3,5,PREFLOP,FLOP,CARD_REVEAL,0.17754524507737957,0.08679708349968022,-0.4859789747898635,0.42857142857142855,2.0455208622076992
36fb8b8d,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,5,7,FLOP,FLOP,ACTION,0.11943280059073166,0.01806323734114535,-0.6687994904025343,0.35714285714285715,6.611926662707444
36fb8b8d,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,7,9,FLOP,FLOP,ACTION,0.10582841371843316,0.017481610590076163,0.1439810435862145,0.5,6.053699295790805
6cb0a250,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.25298547960814266,0.029962683544559526,0.7371810635716156,0.6428571428571429,8.443351852377004
6cb0a250,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,3,4,PREFLOP,FLOP,CARD_REVEAL,0.1256114297845423,0.014875733637414202,0.7347461685529212,0.2857142857142857,8.444049405981223
6cb0a250,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,4,6,FLOP,FLOP,ACTION,0.11195333252171533,0.02210007178398904,0.49337462889683886,0.35714285714285715,5.065745198294911
6cb0a250,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,6,8,FLOP,FLOP,ACTION,0.04188375913660387,0.022715591862895117,-0.17361232723686232,0.5714285714285714,1.8438330548198956
6cb0a250,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,8,10,FLOP,TURN,CARD_REVEAL,0.126490447871564,0.07753854900133086,0.48448273086500476,0.2857142857142857,1.6313233804438734
6cb0a250,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,10,12,TURN,TURN,ACTION,0.13919534333744962,0.02110256205687971,0.8134104823534796,0.35714285714285715,6.596134770852155
6cb0a250,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,12,14,TURN,RIVER,CARD_REVEAL,0.1175976135980795,0.0670983952890581,0.14864518297387316,0.5714285714285714,1.7526143969832977
6cb0a250,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,14,16,RIVER,RIVER,ACTION,0.121910112116641,0.01968039251565315,0.14771921601176183,0.5,6.194495969512682
c96fc911,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.2448784574507565,0.014030693337935631,-0.48933802916136593,0.14285714285714285,17.45305463905079
c96fc911,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,2,4,FLOP,FLOP,ACTION,0.06428243465332252,0.022509542530807013,0.6867207210026023,0.2857142857142857,2.8557859212529215
6bfd8f1b,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.15370112647986392,0.030362352454252933,-0.3305005261220885,0.5,5.0622272009866816
6bfd8f1b,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,3,5,PREFLOP,FLOP,CARD_REVEAL,0.12227761062008412,0.08607892877525257,-0.5060173249590837,0.35714285714285715,1.420528953599601
6bfd8f1b,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,5,7,FLOP,FLOP,ACTION,0.0631202010422521,0.018382991486582984,-0.11182584658784488,0.5714285714285714,3.433619663498242
6bfd8f1b,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,7,9,FLOP,FLOP,ACTION,0.07788410823199149,0.01771768892384298,-0.5845432371591208,0.5714285714285714,4.395839015278205
6bfd8f1b,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,9,10,FLOP,TURN,CARD_REVEAL,0.046180508950166566,0.008088592071878798,0.02275215873694189,0.21428571428571427,5.709338354535151
6bfd8f1b,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,10,12,TURN,TURN,ACTION,0.11016515210004366,0.015284212788712484,-0.17051523587506115,0.21428571428571427,7.207774036056441
6bfd8f1b,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,12,13,TURN,RIVER,CARD_REVEAL,0.10395461864938801,0.006442206027753052,-0.29291025430196355,0.14285714285714285,16.136493958987195
255861a3,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.21922565736880154,0.021833352926429378,0.25872674025034426,0.2857142857142857,10.040860792545878
