bucket,hand_id,decision_idx,head_idx,rank,src_position,src_token,attn_weight,entropy_over_seq,seq_len
clean_check_or_call,d8ee7de6,2,22,4,293,.,0.0635,3.2239,330
clean_check_or_call,d8ee7de6,2,22,5,323,".

",0.0320,3.2239,330
clean_check_or_call,d8ee7de6,2,22,6,322, does,0.0273,3.2239,330
clean_check_or_call,d8ee7de6,2,22,7,270,.,0.0223,3.2239,330
clean_check_or_call,d8ee7de6,2,9,0,324,JSON,0.2334,2.5931,330
clean_check_or_call,d8ee7de6,2,9,1,0,<s>,0.1416,2.5931,330
clean_check_or_call,d8ee7de6,2,9,2,325,:,0.1152,2.5931,330
clean_check_or_call,d8ee7de6,2,9,3,323,".

",0.1128,2.5931,330
clean_check_or_call,d8ee7de6,2,9,4,327,action,0.0986,2.5931,330
clean_check_or_call,d8ee7de6,2,9,5,326," {""",0.0825,2.5931,330
clean_check_or_call,d8ee7de6,2,9,6,329," """,0.0498,2.5931,330
clean_check_or_call,d8ee7de6,2,9,7,328,""":",0.0354,2.5931,330
clean_check_or_call,d8ee7de6,2,15,0,312, Checking,0.1235,4.1586,330
clean_check_or_call,d8ee7de6,2,15,1,0,<s>,0.1143,4.1586,330
clean_check_or_call,d8ee7de6,2,15,2,323,".

",0.0549,4.1586,330
clean_check_or_call,d8ee7de6,2,15,3,7,.,0.0415,4.1586,330
clean_check_or_call,d8ee7de6,2,15,4,327,action,0.0344,4.1586,330
clean_check_or_call,d8ee7de6,2,15,5,329," """,0.0289,4.1586,330
clean_check_or_call,d8ee7de6,2,15,6,311,.,0.0284,4.1586,330
clean_check_or_call,d8ee7de6,2,15,7,313, is,0.0237,4.1586,330
clean_check_or_call,54e89359,1,22,0,292, check,0.2910,3.3342,309
clean_check_or_call,54e89359,1,22,1,293, and,0.0757,3.3342,309
clean_check_or_call,54e89359,1,22,2,298, before,0.0466,3.3342,309
clean_check_or_call,54e89359,1,22,3,302,".

",0.0398,3.3342,309
clean_check_or_call,54e89359,1,22,4,272,.,0.0393,3.3342,309
clean_check_or_call,54e89359,1,22,5,294, see,0.0302,3.3342,309
clean_check_or_call,54e89359,1,22,6,291, to,0.0266,3.3342,309
clean_check_or_call,54e89359,1,22,7,263, hand,0.0258,3.3342,309
clean_check_or_call,54e89359,1,9,0,303,JSON,0.1875,2.8080,309
clean_check_or_call,54e89359,1,9,1,0,<s>,0.1680,2.8080,309
clean_check_or_call,54e89359,1,9,2,302,".

",0.1099,2.8080,309
clean_check_or_call,54e89359,1,9,3,306,action,0.1035,2.8080,309
clean_check_or_call,54e89359,1,9,4,305," {""",0.0845,2.8080,309
clean_check_or_call,54e89359,1,9,5,304,:,0.0830,2.8080,309
clean_check_or_call,54e89359,1,9,6,308," """,0.0544,2.8080,309
clean_check_or_call,54e89359,1,9,7,307,""":",0.0259,2.8080,309
clean_check_or_call,54e89359,1,15,0,0,<s>,0.1060,4.1000,309
clean_check_or_call,54e89359,1,15,1,292, check,0.1011,4.1000,309
clean_check_or_call,54e89359,1,15,2,293, and,0.0713,4.1000,309
clean_check_or_call,54e89359,1,15,3,302,".

",0.0486,4.1000,309
clean_check_or_call,54e89359,1,15,4,7,.,0.0393,4.1000,309
clean_check_or_call,54e89359,1,15,5,306,action,0.0381,4.1000,309
clean_check_or_call,54e89359,1,15,6,308," """,0.0332,4.1000,309
clean_check_or_call,54e89359,1,15,7,297,op,0.0320,4.1000,309
clean_check_or_call,c84bdcb3,2,22,0,303, check,0.2676,2.9324,319
clean_check_or_call,c84bdcb3,2,22,1,312,".

",0.1348,2.9324,319
clean_check_or_call,c84bdcb3,2,22,2,308, do,0.0928,2.9324,319
clean_check_or_call,c84bdcb3,2,22,3,304, and,0.0757,2.9324,319
clean_check_or_call,c84bdcb3,2,22,4,305, see,0.0581,2.9324,319
clean_check_or_call,c84bdcb3,2,22,5,264,.,0.0283,2.9324,319
clean_check_or_call,c84bdcb3,2,22,6,302, to,0.0278,2.9324,319
clean_check_or_call,c84bdcb3,2,22,7,298,",",0.0249,2.9324,319
clean_check_or_call,c84bdcb3,2,9,0,0,<s>,0.1836,2.7226,319
clean_check_or_call,c84bdcb3,2,9,1,313,JSON,0.1514,2.7226,319
clean_check_or_call,c84bdcb3,2,9,2,312,".

",0.1201,2.7226,319
clean_check_or_call,c84bdcb3,2,9,3,314,:,0.1099,2.7226,319
clean_check_or_call,c84bdcb3,2,9,4,316,action,0.0884,2.7226,319
clean_check_or_call,c84bdcb3,2,9,5,315," {""",0.0762,2.7226,319
clean_check_or_call,c84bdcb3,2,9,6,318," """,0.0718,2.7226,319
clean_check_or_call,c84bdcb3,2,9,7,317,""":",0.0381,2.7226,319
clean_check_or_call,c84bdcb3,2,15,0,0,<s>,0.1826,3.8809,319
clean_check_or_call,c84bdcb3,2,15,1,303, check,0.0986,3.8809,319
clean_check_or_call,c84bdcb3,2,15,2,7,.,0.0679,3.8809,319
clean_check_or_call,c84bdcb3,2,15,3,312,".

",0.0569,3.8809,319
clean_check_or_call,c84bdcb3,2,15,4,304, and,0.0491,3.8809,319
clean_check_or_call,c84bdcb3,2,15,5,311, turn,0.0289,3.8809,319
clean_check_or_call,c84bdcb3,2,15,6,316,action,0.0261,3.8809,319
clean_check_or_call,c84bdcb3,2,15,7,308, do,0.0256,3.8809,319
clean_check_or_call,b3c594b5,2,22,0,298, check,0.2715,2.9272,314
clean_check_or_call,b3c594b5,2,22,1,307,".

",0.1279,2.9272,314
clean_check_or_call,b3c594b5,2,22,2,303, do,0.0996,2.9272,314
clean_check_or_call,b3c594b5,2,22,3,299, and,0.0752,2.9272,314
clean_check_or_call,b3c594b5,2,22,4,300, see,0.0613,2.9272,314
clean_check_or_call,b3c594b5,2,22,5,261,.,0.0272,2.9272,314
clean_check_or_call,b3c594b5,2,22,6,296, best,0.0240,2.9272,314
clean_check_or_call,b3c594b5,2,22,7,306, turn,0.0233,2.9272,314
clean_check_or_call,b3c594b5,2,9,0,0,<s>,0.1807,2.7167,314
clean_check_or_call,b3c594b5,2,9,1,308,JSON,0.1504,2.7167,314
clean_check_or_call,b3c594b5,2,9,2,307,".

",0.1187,2.7167,314
clean_check_or_call,b3c594b5,2,9,3,309,:,0.1152,2.7167,314
clean_check_or_call,b3c594b5,2,9,4,311,action,0.0933,2.7167,314
clean_check_or_call,b3c594b5,2,9,5,310," {""",0.0767,2.7167,314
clean_check_or_call,b3c594b5,2,9,6,313," """,0.0708,2.7167,314
clean_check_or_call,b3c594b5,2,9,7,312,""":",0.0369,2.7167,314
clean_check_or_call,b3c594b5,2,15,0,0,<s>,0.1846,3.8802,314
clean_check_or_call,b3c594b5,2,15,1,298, check,0.0972,3.8802,314
clean_check_or_call,b3c594b5,2,15,2,7,.,0.0684,3.8802,314
clean_check_or_call,b3c594b5,2,15,3,307,".

",0.0569,3.8802,314
clean_check_or_call,b3c594b5,2,15,4,299, and,0.0466,3.8802,314
clean_check_or_call,b3c594b5,2,15,5,306, turn,0.0284,3.8802,314
clean_check_or_call,b3c594b5,2,15,6,311,action,0.0259,3.8802,314
clean_check_or_call,b3c594b5,2,15,7,303, do,0.0254,3.8802,314
clean_check_or_call,5db85f5e,2,22,0,303, option,0.1592,3.0363,315
clean_check_or_call,5db85f5e,2,22,1,299, Checking,0.1406,3.0363,315
clean_check_or_call,5db85f5e,2,22,2,308,".

",0.1318,3.0363,315
